ID,PN,IPC,Title,Abstract,Year,Keywords,Novelty
460001,CL2007003526A1,"[""G06F12/00"", ""G06F15/00"", ""G06F17/00""]","METODO Y APARATO PARA CONTROLAR LA ENTREGA DE INFORMACION A UN TERMINAL DE USUARIO QUE COMPRENDE FIJAR REGLAS DE TRANSMISION DE INFORMACION EN UN CLIENTE, RECIBIR DICHAS REGLAS Y REENRUTAR INFORMACION ASOCIADA CON DICHAS REGLAS Y ENVIAR DICHA INFORMA",no Abstract,2007.0,"[""cliente recibir"", ""dicha informa"", ""transmision informacion"", """", """"]",10.696319816519956
480001,KR20090087662A,"[""G05D1/02""]",ROBOT HAVED WITH SERVICE ACCESS CONTROLLER FOR INTERFACING SERVICE CLIENTS BASED ON NETWORK SERVICES AND ITS OPERATING METHOD,"A robot equipped with a service access controller for interfacing service clients based on network services and its operating method are provided to supply a serve based on network without a complex processor through interlinking of the service control module and the robot main program. A service control module receives a request of robot service start from a robot control server, and a service client corresponding to the robot service is executed(204) by using the robot main program, and the service client is connected with the service control module(205) according to execution result. The service control module transmits information of the service client to the robot control server(209). The service client receives a control command of the robot service from the robot control server(210), and requests a control right from the service control module.",2008.0,"[""interlinking service control"", ""robot service start"", ""robot control"", ""service control module"", ""client robot""]",12.308933641676315
490001,CN101477521A,"[""G06F17/30"", ""G06F17/50""]",Non-standard knowledge acquisition method used for constructing mechanical product design knowledge base,"The invention discloses a method for obtaining irregular knowledge used for constructing a mechanical product design knowledge base. Aiming at the requirements for knowledge processing and knowledge base system development in the mechanical product design field, the invention defines the irregular knowledge, discloses a computation module for dividing irregular knowledge granularity by adopting granularity calculation principle, studies mechanical product design irregular knowledge base structure system and basic format, discloses an irregular knowledge base display method based on metadata, and invents a method for obtaining semantic matching, irregular knowledge base in serial data source, and multi-mode irregular knowledge based on irregular example knowledge obtaining of cluster analysis; and on the basis, designs a system frame and a prototype software system for mechanical product design knowledge base system construction and application. The invention can be used to solve the technical problem of treating irregular knowledge in an information processing system such as CAD (computer-aided design), CAM (computer-aided manufacturing), CAE (computer-aided engineering) or PDM (products data management) in manufacturing industry, so as to satisfy the requirements for the deepening development of the manufacturing industry information project technology.",2008.0,"[""manufacturing industry information"", ""requirements knowledge processing"", ""irregular knowledge granularity"", ""computer aided design"", ""constructing mechanical product""]",8.497217472603149
500001,US2012044335A1,"[""H04N7/18""]","MAKEUP SIMULATION SYSTEM, MAKEUP SIMULATION APPARATUS, MAKEUP SIMULATION METHOD, AND MAKEUP SIMULATION PROGRAM","The present invention relates to a makeup simulation system, a makeup simulation apparatus, a makeup simulation method and a makeup simulation program and, more particularly, to a makeup simulation apparatus, a makeup simulation method and a makeup simulation program for applying a make up to a face of a user contained in a dynamic picture image, and includes picture-taking means for outputting the dynamic image; control means for image-processing and outputting the output dynamic image; and display means for displaying the dynamic image output from the control means, and the control means includes: face recognition processing means for recognizing the face of the user from the dynamic image in accordance with predetermined tracking points; and makeup processing means for applying a predetermined makeup to the face of the user contained in the dynamic image in accordance with the tracking points, and outputting to the display means.",2008.0,"[""program particularly makeup"", ""makeup face"", ""predetermined makeup face"", ""simulation apparatus makeup"", ""simulation method makeup""]",13.984104341440698
530001,US2009288009A1,"[""G06F3/01"", ""G06F3/048"", ""G06F3/00""]",METHODS AND APPARATUS FOR GRAPHICAL OBJECT IMPLEMENTATION,"A system displays a graphical element in a graphical user interface, and receives a command to display the at least one graphical sub-element associated with the graphical element. The system replaces the display of the graphical element with a display of at least one graphical sub-element associated with the graphical element, and implements the graphical sub-element such that execution of the graphical element invokes execution of the graphical sub-element associated with the graphical element.",2009.0,"[""associated graphical"", ""graphical user interface"", ""element implements graphical"", ""graphical sub element"", ""execution graphical sub""]",11.845428015572454
540001,EP2163187A3,"[""A61B1/273"", ""A61B5/00"", ""A61B5/07""]",Floatation-volume adequacy determining system and floatation-volume adequacy determining method,A floatation-volume adequacy determining system (1) includes a receiving unit (4); an image processor (8b); an adequacy determining unit (8c); and a display unit (6). The receiving unit (4) receives an actual image that is taken by a capsule medical apparatus (10) that is floating in a liquid (2) in the direction toward the liquid level. The image processing unit (8b) generates a determination reference image that represents an adequate range of a floatation volume of the capsule medical apparatus (10) adjusted to the actual image that is taken by the capsule medical apparatus (10). An adequacy determining unit (8c) compares the determination reference image and the actual image with each other and determines whether the floatation volume of the capsule medical apparatus (10) is adequate. The display unit (6) displays a result of determining whether the floatation volume of the capsule medical apparatus (10) is adequate.,2009.0,"[""range floatation volume"", ""image processing unit"", ""capsule medical apparatus"", ""8c compares determination"", ""adequacy determining""]",12.808517491105132
550001,CN101609485B,"[""G06F19/00"", ""G06K9/62""]",Medical image diagnosing system and diagnosing method based on migrated nuclear matching tracing,"The invention discloses a medical image diagnosing system and a diagnosing method based on migrated nuclear matching tracing. The whole system comprises an image preprocessing module, an image feature extracting module, an image migrated nuclear matching tracing diagnosing module and an image unidentified sample testing module. The image preprocessing module completes the redundancy removal of original images and the equalization strengthening processing of histograms. The processed images are extracted to obtain gray level cooccurrencematrixes, Hu matrixes, and Brushlet and Contourlet features as a sample set, thus a source field, a target filed identified training sample set and a target filed unidentified training sample set are obtained. The migrated nuclear matching tracing learning is carried out on the source field and the target filed identified training sample set, thus a refreshed target field training sample set and a training classifier are obtained. The training classifier is used for classifying and diagnosing the unidentified testing samples and outputting final diagnosing results. The invention can relieve the defect that the quantity of medical reference samples is few, effectively enhance the medical image diagnosing identification rate and can be used for assisting the clinical diagnosing of medical images.",2009.0,"[""histograms processed images"", ""training sample"", ""classifying diagnosing unidentified"", ""medical image"", ""nuclear matching tracing""]",13.91465177055018
560001,WO2009111652A1,"[""A61B5/0408"", ""A61B5/055""]","COMPUTER-ACCESSIBLE MEDIUM, SYSTEM AND METHOD FOR ASSESSING EFFECT OF A STIMULUS USING INTERSUBJECT CORRELATION","Exemplary embodiments of a system and method can be provided for measuring a level and/or details of how engaging, effective or memorable a stimulus that may be based on information associated with one or more subjects' neuronal, physiological and/or behavioral responses to the stimulus. In addition, an exemplary embodiment of a computer-accessible medium containing executable instructions thereon can also be provided which can be executed by a processing arrangement. For example, when the processing arrangement executes the instructions, the processing arrangement can be configured to, e.g., receive neuronal, physiological and/or behavioral data one or more subjects being presented with stimuli, determine further data associated with a measure of inter-subject similarity of the neuronal, physiological and/or behavioral data, and identify particular portions of the stimuli that meet a pre-determined criteria relating to the further data associated with the measure of inter-subject similarity. In addition,the processing arrangement can be further configured to display and/or store identifiers of the particular portions of the stimuli in a storage arrangement in a user-accessible format and/or a user-readable format.",2009.0,"[""exemplary embodiment computer"", ""subject similarity neuronal"", ""stimuli storage arrangement"", ""information associated subjects"", ""physiological behavioral data""]",12.372343759606103
570001,WO2009109711A2,"[""A63H30/00"", ""B64C19/00"", ""G05D1/08"", ""A63H27/133"", ""A63H30/04""]",METHOD FOR PILOTING A ROTARY-WING DRONE WITH AUTOMATIC HOVERING-FLIGHT STABILISATION,"The method of the invention can particularly be used for piloting radio-controlled toys and comprises the following operations: fitting the drone with a telemeter and a video camera; acquiring the altitude of the drone relative to the ground using the telemeter; acquiring the horizontal speed of the drone; and automatically stabilising the drone in a hovering flight by controlling the vertical thrust force of the drone in order to stabilise the altitude acquired by the telemeter and by controlling the horizontal thrust force of the drone so as to cancel the horizontal speed. The video camera is a front sight camera directed towards the front of the drone, and the horizontal speed of the drone is acquired from a plurality of video images taken by said front sight camera.",2009.0,"[""altitude drone"", ""drone horizontal speed"", ""automatically stabilising drone"", ""directed drone"", ""drone telemeter video""]",13.067818551540178
580001,JP2011128739A,"[""G06F13/00"", ""G06F15/00""]",INPUT SUPPORT INTERFACE USING INTER-TERMINAL APPLICATION,"&lt;P>PROBLEM TO BE SOLVED: To provide a method for supporting a necessary complicated input to a terminal whose input interface is restricted, and to provide an interface without depending on equipment configurations.  &lt;P>SOLUTION: The screen of a business AP is cooperated by using the protocol of the Internet so that it is possible to support an interface which has not been provided to a terminal from the other terminal. Thus, it is possible to provide the interface without depending on equipment configurations.  &lt;P>COPYRIGHT: (C)2011,JPO&amp;INPIT",2009.0,"[""business ap cooperated"", ""restricted provide interface"", ""screen business ap"", ""terminal input interface"", ""interface depending equipment""]",11.618127429600635
600001,RU2567462C2,"[""A61B5/276"", ""A61N1/39""]",PROTECTION AGAINST OVERVOLTAGE FOR DEFIBRILLATOR,"FIELD: medicine.SUBSTANCE: group of inventions relates to medical equipment. Defibrillation circuit contains high-voltage circuit, made with possibility of supplying high-voltage-pulse to patient by defibrillation pads; circuit of electrocardiogram monitoring, made with possibility of connection with defibrillation pads by monitoring electrodes, with defibrillation circuit containing electric conductor, carrying electric support potential, sufficient for absorption of excessive electric charge; gas-discharge tube, connected between one of monitoring electrodes and electric conductor; and light source. Light source is made with possibility, in fact, constant illumination of gas-discharge tube. Gas-discharge tube is made with possibility to preliminarily actuate, when illuminated, and provide breakdown conditions, with average breakdown voltage being lower in comparison with average voltage of breakdown of gas-discharge tube, which was not preliminarily actuated. Device for protection against overvoltage and method of applying gas-discharge tube in circuit of medical defibrillator are disclosed.EFFECT: invention provides protection against overvoltage without application of radioactive materials.8 cl, 3 dwg",2010.0,"[""connection defibrillation pads"", ""tube circuit medical"", ""medical defibrillator disclosed"", ""monitoring electrodes defibrillation"", ""defibrillation circuit contains""]",12.921007791875596
610001,JP2012252368A,"[""G06F12/00"", ""G06T1/60""]","MEMORY HAVING INFORMATION NARROWING DETECTION FUNCTION, METHOD FOR USING THE SAME, AND MEMORY AND DEVICE INCLUDING THE MEMORY","PROBLEM TO BE SOLVED: To achieve a non-Neumann type information detection memory for making it unnecessary to perform successive comparison processing of a memory because of the fact that the largest problem of information detection such as pattern recognition is a search time.SOLUTION: Disclosed is a memory that has an information narrowing detection function, stores information for each memory address, and reads the information. The memory is characterized by including input means of input data, that is, both first data to be applied from the outside as data for comparing the stored data of the memory and second data as data for comparing the mutual addresses; means for determining doubly in parallel success/failure of the data of information and address stored in the both input data applied from the input means, and for further performing in parallel logical arithmetic operation of the success/failure determination result of the both data; and means for outputting the address of the memory which succeeds in the logical arithmetic operation. Thus, it is possible to widely use the memory for artificial intelligence or the like as well as intelligent information search.",2010.0,"[""information detection"", ""use memory artificial"", ""information detection pattern"", ""comparison processing memory"", ""solution disclosed memory""]",11.199470274947847
620012,US2011164820A1,"[""G06F17/30"", ""G06K9/00"", ""G06F17/00""]",Records Management System and Method,"A records management system and method that permits paper records to be tagged, stored and retrieved according to user criteria. The system includes a scanning module, a central server, one or more user workstations and an optical character recognition server. After scanning, the records may then be serialized and categorized by project, and then supplemented automatically by the system with a hypertext data file. The system provides for the manual input of additional hypertext data and merger of the hypertext data file with other records in the project. The end user may then search and/or filter records according to information contained in the hypertext data file. Because the pages may be sorted according to user criteria, the user may shuffle through pages from various different documents, thus allowing them to quickly retrieve the records they need and perform such actions as trend-spotting.",2010.0,"[""recognition server scanning"", ""records tagged"", ""automatically hypertext"", ""data file pages"", ""records management method""]",11.520867777705089
630001,CN202183030U,"[""B23K26/38"", ""G05B19/18""]",Intelligent computer numerical control system for laser cutting machine,"The utility model relates to a computer numerical control system, especially relates to an intelligent computer numerical control system for a laser cutting machine, and belongs to the field of digital control application. Based on an open type computer numerical control system, the system of the utility model is provided with a cutting state automatic detection unit, a laser cutting expert system and a laser cutting technique database, and has the intelligent characteristics of automatic detection, automatic diagnosis, automatic optimization, automatic learning function or the like. A laser cutting machine equipped with the intelligent computer numerical control system can be utilized for on-line detecting cutting quality, forming an optimum cutting technique scheme according to the cutting quality, and optimizing laser output power, motion speed of each shaft, protection gas pressure and other parameters, thereby guaranteeing fine quality, rapid speed and low energy consumption during the entire cutting process.",2010.0,"[""optimizing laser output"", ""detecting cutting quality"", ""computer numerical control"", ""control laser"", ""model provided cutting""]",12.945682775562608
680001,CN102792301B,"[""G06F15/16"", ""G06F17/30"", ""G06F17/40""]",Semantics update and adaptive interfaces in connection with information as a service,"Additional semantic information that describes data sets is inferred in response to a request for data from the data sets, e.g., in response to a query over the data sets, including analyzing a subset of results extracted based on the request for data to determine the additional semantic information. The additional semantic information can be verified by the publisher as correct, or satisfy correctness probabilistically. Mapping information based on the additional semantic information can be maintained and updated as the system learns additional semantic information (e.g., information about what a given column represents and data types represented), and the form of future data requests (e.g., URL based queries) can be updated to more closely correspond to the updated additional semantic information.",2011.0,"[""probabilistically mapping information"", ""determine additional semantic"", ""data requests"", ""based request data"", ""updated additional semantic""]",4.455242205639568
720001,US9083408B2,"[""H04B1/10"", ""H04B7/06"", ""H04L25/02"", ""H04L25/03"", ""H04L27/26""]",Implicit and explicit channel sounding for beamforming,"A communication device for transmitting beamformed signals using implicit channel sounding is described. The communication device includes a processor and instructions stored in memory. The communication device receives one or more sounding signals and computes a channel estimate based on the one or more sounding signals. Frequency offset compensation is applied to the channel estimate by the communication device. The communication device also computes a precoding matrix based on the channel estimate and transmits a beamformed signal using the precoding matrix. Another communication device for receiving beamformed signals using explicit channel sounding is also described. The communication device includes a processor and instructions stored in memory. The communication device receives one or more sounding signals, computes a channel estimate based on the one or more sounding signals and applies amplitude compensation to the channel estimate. The communication device also sends estimated channel data and receives a beamformed signal.",2011.0,"[""transmits beamformed signal"", ""estimated channel data"", ""beamformed signals using"", ""amplitude compensation channel"", ""implicit channel sounding""]",12.359809844640036
720004,CN102393795B,"[""G06F3/01"", ""G06F3/041""]",Method for inputting handwritten information into computer by touch-screen mobile phone,"The invention discloses a method for inputting handwritten information into a computer by a touch-screen mobile phone, which comprises the following steps of: establishing a connection between the mobile phone and the computer by a USB (universal serial bus); entering a writing board mode of the mobile phone, and starting an information input function of the mobile phone; enumerating USB device by the computer, and running a PC (personal computer) input method program on the computer; receiving stroke information input by a user by the mobile phone, and sending a touch-screen coordinate corresponding to the stroke information to the computer; and recording the touch-screen coordinate by the computer, identifying the stroke information input by the user, and displaying the stroke information on a display screen of the computer. In the invention, through taking a mobile phone with a touch screen as a handwritten input tool, the mobile phone concurrently has a handwritten letter symbol input function and a graphic input function, so that the potential of currently continually-increased smart phones is fully explored, thereby providing great convenience for PC users who are weak in Chinese input methods such as a five-stroke input method, a Pinyin input method and the like, and bringing new experiences to users.",2011.0,"[""computer input method"", ""phone computer usb"", ""input tool mobile"", ""handwritten information"", ""phone concurrently handwritten""]",12.261834588721454
730001,EP3361403A1,"[""A43D11/00"", ""A43D111/00"", ""A43D117/00"", ""A43D119/00"", ""G05B19/408"", ""G05B19/4097"", ""G05B19/4099"", ""G05B19/418"", ""G06F19/00""]",AUTOMATED IDENTIFICATION OF SHOE PARTS,"Manufacturing of a shoe or a portion of a shoe is enhanced by automated placement of shoe parts. For example, a method (310,710,810) comprising, receiving an image (228,230,254) depicting a two-dimensional representation (232) of an attachment shoe part; determining an identity of the attachment shoe part; determining from the image (228,230,254) a geometric coordinate (201,203,205) of the attachment shoe part in a geometric coordinate system (225); determining from a different image (228,230,254) a geometric coordinate (201, 203,205) of a base shoe part in the geometric coordinate (201,203,205) system (225); and transferring the attachment shoe part to the geometric coordinate (201,203,205) of the base shoe part.",2012.0,"[""transferring attachment shoe"", ""base shoe geometric"", ""portion shoe enhanced"", ""shoe parts example"", ""automated placement shoe""]",12.65087226433723
740001,JP2014127032A,"[""B60R21/00"", ""G06T1/00"", ""G08G1/16""]",OUTSIDE VIEW RECOGNITION DEVICE FOR VEHICLES,"PROBLEM TO BE SOLVED: To provide an outside view recognition device for vehicles that estimates the conspicuity of an obstacle with increased accuracy and changes the timing of control for avoidance of obstacles executed by the vehicle such as alarm activation and automatic braking depending on an obstacle that is less likely to be recognized by a driver, an obstacle that is easy to be recognized by the driver, or an obstacle that is highly likely to be recognized by the driver.SOLUTION: An outside view recognition device for vehicles 1000 comprises: an image capturing section 1011 that captures an image of the view around an own vehicle equipped with the device; an obstacle information acquiring section 1021 that acquires information on a position of an obstacle around the own vehicle; an obstacle's conspicuity estimating section 1031; and a vehicle control determining section 1041. The obstacle's conspicuity estimating section 1031 estimates the conspicuity of the obstacle on the basis of luminance components of predetermined areas of the image based on information about colors of the predetermined areas including the obstacle and an area around the obstacle. The vehicle control determining section 1041 determines whether the vehicle is required to output a command to execute control for avoidance of obstacles or not, or the timing of outputting the command, on the basis of the conspicuity of the obstacle estimated.",2012.0,"[""view vehicle"", ""vehicle control determining"", ""conspicuity obstacle basis"", ""recognition device vehicles"", ""estimates conspicuity obstacle""]",14.22708332598024
750001,GB2503959A,"[""A61B5/0205"", ""A61B5/22"", ""A63B24/00"", ""A61B5/024""]",Determining physiological training effect of exercise,"Physiological training effect (TE) of a physiological performance of a person is determined using a portable device that monitors the performance to obtain performance data 21A, 21B (e.g. heart rate, acceleration, position, velocity, power). The device includes computing means to determine a first training effect parameter 23A describing a first physiological effect of the performance using a first determination method 22A, and a second training effect parameter 23B describing a second physiological effect of the performance using a second determination method 22B. A third training effect parameter 26 describing a third physiological effect of the performance using a third determination method may be calculated. The third physiological effect being a combination effect of the first and second physiological effects which are different from each other and are descriptive of different physiological effects of training, such as homeostatic disturbance and cumulative physiological load, respectively. The training effect parameters are displayed and or stored 24A, 24B, 27. The training effect parameters may be peak fitness, cumulative intensity/load, recovery time, peakTE, baseTE and totalTE etc.",2012.0,"[""method calculated physiological"", ""physiological effects different"", ""27 training effect"", ""training effect te"", ""physiological performance person""]",11.092961656170264
760001,US9736701B2,"[""H04W24/00"", ""G01C21/16"", ""G01C22/00"", ""G06F1/16""]",DEAD RECKONING USING PROXIMITY SENSORS,Various arrangements for limiting inaccuracy of dead reckoning are presented. Proximity data may be collected using a plurality of proximity sensors of a mobile device. A position of the mobile device may be determined in relation to a user using the proximity data. Whether to determine a location of the mobile device using a dead reckoning technique may be determined at least partially based on the position of the mobile device in relation to the user,2012.0,"[""position mobile device"", ""sensors mobile"", ""using proximity data"", ""reckoning presented"", ""inaccuracy dead reckoning""]",12.078430810510191
770001,CN102779158A,"[""G06F17/30"", ""G06T7/00""]",Method of edge match for linear elements,"The invention discloses a method of edge match for linear elements, which can improve the correction, efficiency and fault tolerance of edge match. According to the invention, a double restriction condition of spatial relation and attribute relation is adopted to avoid mis-matching of a linear object and avoid leaked connection by an edge matching table. The edge matching object is divided into internal and external object sets according to the relationship with the spatial range, times of edge match for each object are pre-constructed and judgment of spatial relation of edge match is converted into judgment of distance between end points of linear objects, so that the method provided by the invention, compared with the prior art, is higher in correction, stronger in fault tolerance, and higher in efficiency of searching for the edge matching objects.",2012.0,"[""spatial relation edge"", ""match linear elements"", ""mis matching linear"", ""matching table edge"", ""tolerance edge match""]",11.772755232322542
770009,WO2012119241A1,"[""G05B17/02"", ""G06F17/10"", ""G06F17/13"", ""G06F17/16"", ""G06F9/44""]",SYSTEM AND METHOD FOR GENERATING DISCRETE-TIME MODEL (DTM) OF CONTINUOUS-TIME MODEL (CTM) FOR A DYNAMICAL SYSTEM,"Method and apparatus for processing continuous-time models (CTM) in a digital processing architecture is disclosed. The discrete state-space technique maps the CTM into the discrete-time model (DTM) and stores the states of the system in a sample time independent discrete state space set of matrices. The resulting state-space matrices can be processed in software or directly in hardware. The method disclosed is particularly suited to be used in automatic synthesis algorithms where a digital circuit is generated from an algorithm described in a high level language or model representation such as, for example, data flow or bond graph into a hardware description language (HDL), and the HDL model can be synthesized using system specific tools to generate an application specific integrated circuit (ASIC) or an FPGA configuration.",2012.0,"[""automatic synthesis algorithms"", ""directly hardware method"", ""model dtm stores"", ""ctm discrete time"", ""processing architecture disclosed""]",14.942606402420864
780001,KR101476001B1,"[""G06F11/14"", ""G06F13/14""]","INFORMATION PROCESSING APPARATUS, CONTROL METHOD, AND COMPUTER READABLE RECORDING MEDIUM HAVING CONTROL PROGRAM","PURPOSE: An information processing device, a control method thereof, and a computer readable recording medium thereof are provided to suppress probability of the information processing device to be down by improving memory access performance. CONSTITUTION: A detection unit (51) detects correctable errors which are generated more than a fixed number at a set time for data, which are memorized in an interface memory area, to be accessed through a node of a memory device, or correctable errors which are generated on the same unit. A suppression control unit suppresses the access through the node to the interface memory area when the errors are detected. A recovery unit recovers data in a memory area which is different from the interface memory area. A notifying unit notifies other nodes of the information about the memory area different from the interface memory area. A restart control unit restarts the access through the nodes to the data. [Reference numerals] (50) Home node; (51) Detecting unit; (52,72) Stop unit; (53) Stop request unit; (54,74) Transmitter; (55,71) Receiver; (56) Determining unit; (57,75) Rearranging unit; (58) Rearranging request unit; (59,78) Resuming unit; (60) Resuming request unit; (70) Remote node; (73) Completed notification making unit",2012.0,"[""processing device improving"", ""memory access"", ""memory area notifying"", ""device control method"", ""purpose information processing""]",12.009786252422852
810001,JP5903624B2,"[""H02J50/00""]",DRIVE METHOD FOR NON-CONTACT POWER TRANSMISSION DEVICE AND NON-CONTACT POWER TRANSMISSION DEVICE,PROBLEM TO BE SOLVED: To provide a drive method for non-contact power transmission device and a non-contact power transmission device capable of simplifying the structure and increasing power supply efficiency and detection accuracy of metal and electrical apparatuses as well as miniaturization of the device.SOLUTION: Energization of a primary coil disposed in a feeding area AR is driven to be switchable according to a first resonance frequency near a frequency at which a primary coil disposed in a feeding area AR is determined by the primary coil and a primary capacitor and a second resonance frequency near a frequency at which the primary coil is determined by a secondary inductor component and a secondary capacitor capacity component under a state in which a secondary coil L2 opposes thereto.,2012.0,"[""coil l2 opposes"", ""secondary inductor component"", ""coil primary capacitor"", ""determined secondary inductor"", ""coil disposed feeding""]",12.17687636385036
820001,CN104321709A,"[""A47L9/28"", ""G05D1/02""]","Robot device, terminal device, remote control system for robot device and program","The present invention is a robot device (1) capable of receiving information from a terminal device, which is provided with: a communication unit which receives, from a terminal device (101), positional information generated on the basis of a map of a work area, for a robot device (1), that has been created at the terminal device (101), and control instructions for the robot (1); a run unit which moves the robot device (1); and a control unit which drives the run unit on the basis of the positional information in order to execute work on the basis of the control instructions.",2013.0,"[""control instructions robot"", ""robot run unit"", ""receives terminal device"", ""area robot device"", ""device provided communication""]",12.37078430098286
830001,CN109583591A,"[""G06N5/02"", ""G06N5/04"", ""G06N7/00""]",Method and system for simplified knowledge engineering,"A system and a method are disclosed for knowledge engineering using a computerized graphical editor to manage and create knowledge-based systems containing a navigable graph of modal pages with conditional content and user interface knowledge. The invention enables the entire knowledge engineering workflow to be performed within a non-technical graphical environment and without requiring a computer programming or mathematical background. Further, the presentation of knowledge as modal pages allows for simple ontological discovery and end-user player operation. Once editing is complete, the method allows for the set of pages, variables, and settings of which the knowledge-based system is composed to be exported into an independently executable knowledge -based system player containing an embedded inference engine.",2013.0,"[""simple ontological discovery"", ""executable knowledge"", ""knowledge based player"", ""knowledge engineering workflow"", ""knowledge modal pages""]",11.117830235312708
850001,CN103617328B,"[""G06F17/50""]",Airplane three-dimensional attitude computation method,"The invention provides an airplane three-dimensional attitude computation method. Firstly, preprocessing is carried out on an image to be processed by the adoption of Gaussian smooth filtering to eliminate influences of noise on follow-up algorithms; secondly, the smoothened image is segmented by the adoption of a fuzzy C-means clustering algorithm (FCM) to obtain a binary image, then Hough conversion is carried out on the binary image obtained through segmentation, a part, with obvious linear features, on a target is detected, feature points of the part, with non-obvious linear features, on the target are extracted by the adoption of a framework, and then linear fitting is carried out on the feature points on the framework to obtain a target axis; finally, the obtained axis, the actual size of the target, camera parameters and other information are combined, and a three-dimensional attitude parameter of the target under a camera coordinate system is calculated by means of projective geometry knowledge. On the basis of geometrical features capable of reflecting the structure of an object and by means of Hough conversion and framework extraction of the whole target image, the obtained axis is more accurate, and the obtained three-dimensional attitude parameter is more precise.",2013.0,"[""geometrical features"", ""attitude parameter target"", ""camera coordinate calculated"", ""provides airplane dimensional"", ""image hough conversion""]",14.156437721947928
870001,CN104778867A,"[""G09B5/06""]",Multifunctional child talkback early education machine,"The invention relates to a multifunctional child talkback early education machine which comprises a voice recognition module, a face recognition module, a controller module, a display module and a voice play module. The controller module is connected with the voice recognition module, the face recognition module, the display module and the voice play module so as to start different user modes corresponding to different users according to the users recognized by the voice recognition module or the face recognition module. Video content and audio content played by the display module and the voice play module respectively under the different user modes are different. By means of the early education machine, the users currently using the early education machine can be recognized so that the different user modes can be started, and the audio and video content of various styles can be played.",2013.0,"[""recognition module controller"", ""recognized voice recognition"", ""education machine"", ""child talkback early"", ""display module voice""]",12.826168420674104
880001,CN103686237A,"[""H04N21/258"", ""H04N21/466""]",Method and system for recommending video resource,"The invention discloses a method and a system for recommending a video resource. The method comprises that: historical records of all users in the process of watching videos are collected; statistics is performed on the collected historical records of all the users, the number ratio of various types of videos watched by all the users is calculated according to the number of various types of videos watched by all the users, and user groups which include typical users and are corresponding to specific video types are generated; data characteristics of typical users in all the specific types of user groups on other dimensions are acquired respectively, and group characteristics of all the specific types of users on other dimensions are confirmed; whether the data characteristics of other users apart from the typical users on other dimensions meet the group characteristics of certain specific types of groups is judged, and if judgment result is yes, the users are added into the specific types of user groups; and according to the corresponding specific types of information of all the user groups, the corresponding video resource is recommended to the users in the user groups. With application of the method and the system for recommending the video resource, content recommendation can be specifically performed when the users are watching videos so that recommendation effect is enhanced.",2013.0,"[""resource content recommendation"", ""groups corresponding video"", ""process watching videos"", ""method recommending"", ""videos watched users""]",12.409764427057157
910001,WO2013177230A1,"[""G06F17/00"", ""G06Q30/02""]",OPTIMIZATION OF SOCIAL MEDIA ENGAGEMENT,"Methods for optimizing social media are disclosed. Such methods may include identifying at least one keyword utilized for at least one webpage, identifying social media correspondence referencing the at least one keyword, analyzing content collected from the social media to determine a frequency of references to the at least one keyword and generating at least one report including information based on the analysis. The report may include recommendations for optimizing social media by, for example, purchasing paid posts or links on a social media website. Systems for performing the methods are also disclosed.",2013.0,"[""keyword utilized webpage"", ""social media correspondence"", ""optimizing"", ""methods optimizing"", ""social media disclosed""]",5.882929600302246
920001,US9536200B2,"[""G06N5/02"", ""G06F17/27"", ""G06F17/30"", ""G06N5/04""]",Sentiment Analysis of Data Logs,"An approach is provided to use natural language processing (NLP) to analyze data logs. In the approach, a data log is analyzed with the data log including a number of entries. The analysis performed includes performance of a sentiment analysis of the entries using natural language processing. The result of the sentiment analysis results is a sentiment score. Entries from the data log are then visually highlighted based on their corresponding sentiment scores.",2013.0,"[""sentiment analysis entries"", ""use natural language"", ""data logs approach"", ""data log analyzed"", ""nlp""]",11.381451588502816
940001,US10029173B2,"[""A63F13/213"", ""A63F13/30"", ""A63F13/40"", ""A63F13/67"", ""B60W10/20"", ""B60W30/08"", ""B60W30/09"", ""G08G1/16""]",TRAINING SYSTEM AND TRAINING METHOD,"A training system is equipped with a first detection unit that detects a motion of a mobile body that moves within a predetermined region, and a command unit that issues a motion command for the mobile body based on the motion of the mobile body. A user operates the mobile body in accordance with the motion command of the command unit. An accessible region and an inaccessible region are set in the predetermined region. Besides, the training system is equipped with a second detection unit that detects a distance between the mobile body and the inaccessible region, and a warning unit that issues a warning when the distance detected by the second detection unit is equal to or shorter than a first predetermined value.",2014.0,"[""unit detects distance"", ""training equipped second"", ""detects motion mobile"", ""region training"", ""second detection""]",11.539344291939765
960001,JP2015112474A,"[""A61B5/055""]",MEDICAL IMAGE PROCESSING APPARATUS AND MAGNETIC RESONANCE IMAGING APPARATUS,"PROBLEM TO BE SOLVED: To accurately reduce image distortion included in a diffusion-weighted image (DWI image).SOLUTION: A storage part 20 stores DWI images collected by an EPI technique with application of MPG pulses. An image processing part 97 generates corrected DWI images reduced in image distortion due to the EPI technique without application of MPG pulses and image distortion due to application of the MPG pulses, from the DWI image, by using a first distortion map showing space distribution of the distortion by the EPI technique without application of the MPG pulses and a second distortion map showing space distribution of the distortion due to the application of the MPG pulses.",2014.0,"[""distortion epi technique"", ""image dwi"", ""distortion application mpg"", ""diffusion weighted image"", ""accurately reduce image""]",16.077871649276904
